scheme_id,scheme_name,scheme_name_hi,ministry,department,sector,level,launch_year,status,beneficiary_type,description,website
mgnrega,MGNREGA,महात्मा गांधी राष्ट्रीय ग्रामीण रोजगार गारंटी अधिनियम,Ministry of Rural Development,Department of Rural Development,livelihoods,Central,2005,Active,"Rural households","100 days guaranteed wage employment per year to rural households",https://nrega.nic.in
pmkisan,PM-KISAN,प्रधानमंत्री किसान सम्मान निधि,Ministry of Agriculture,Department of Agriculture and Farmers Welfare,livelihoods,Central,2019,Active,"Small and marginal farmers","Rs 6000 per year direct income support in 3 instalments",https://pmkisan.gov.in
pmjay,Ayushman Bharat PM-JAY,आयुष्मान भारत प्रधानमंत्री जन आरोग्य योजना,Ministry of Health and Family Welfare,National Health Authority,health,Central,2018,Active,"BPL families","Rs 5 lakh per family per year for secondary and tertiary hospitalisation",https://pmjay.gov.in
sbm,Swachh Bharat Mission,स्वच्छ भारत मिशन,Ministry of Jal Shakti,Department of Drinking Water and Sanitation,health_wash,Central,2014,Active,"All population","Universal sanitation coverage and open defecation free status",https://swachhbharatmission.gov.in
jjm,Jal Jeevan Mission,जल जीवन मिशन,Ministry of Jal Shakti,Department of Drinking Water and Sanitation,health_wash,Central,2019,Active,"Rural households","Functional household tap water connection to every rural household by 2024",https://jaljeevanmission.gov.in
poshan,POSHAN Abhiyaan,पोषण अभियान,Ministry of Women and Child Development,Ministry of Women and Child Development,health_nutrition,Central,2018,Active,"Children and pregnant women","Reduce stunting malnutrition and anaemia among children and women",https://poshanabhiyaan.gov.in
nrhm,National Health Mission,राष्ट्रीय स्वास्थ्य मिशन,Ministry of Health and Family Welfare,Ministry of Health and Family Welfare,health,Central+State,2013,Active,"All population","Accessible affordable and quality healthcare especially to vulnerable populations",https://nhm.gov.in
samagra,Samagra Shiksha Abhiyan,समग्र शिक्षा अभियान,Ministry of Education,Department of School Education and Literacy,education,Central+State,2018,Active,"All students","Integrated school education from pre-school to class 12",https://samagra.education.gov.in
mdm,PM POSHAN (Mid-Day Meal),प्रधानमंत्री पोषण शक्ति निर्माण,Ministry of Education,Department of School Education and Literacy,education,Central,1995,Active,"Students class 1-8","Hot cooked meal to children in government and aided schools",https://pmposhan.education.gov.in
bbbp,Beti Bachao Beti Padhao,बेटी बचाओ बेटी पढ़ाओ,Ministry of Women and Child Development,Ministry of Women and Child Development,gender,Central,2015,Active,"Girls","Prevent gender-biased sex selection and ensure education of the girl child",https://wcd.nic.in/bbbp-schemes
nrlm,DAY-NRLM,दीनदयाल अंत्योदय योजना - राष्ट्रीय ग्रामीण आजीविका मिशन,Ministry of Rural Development,Department of Rural Development,gender_wee,Central+State,2011,Active,"Rural women (SHGs)","Reduce poverty through self-managed SHGs and skilled wage employment",https://aajeevika.gov.in
pmay_g,PMAY-Gramin,प्रधानमंत्री आवास योजना - ग्रामीण,Ministry of Rural Development,Department of Rural Development,livelihoods,Central,2016,Active,"Rural BPL families","Pucca house with basic amenities to all eligible rural households by 2024",https://pmayg.nic.in
pmay_u,PMAY-Urban,प्रधानमंत्री आवास योजना - शहरी,Ministry of Housing and Urban Affairs,Ministry of Housing and Urban Affairs,livelihoods,Central,2015,Active,"Urban poor","Housing for all in urban areas through credit-linked subsidy and in-situ redevelopment",https://pmaymis.gov.in
skill_india,Skill India Mission,स्किल इंडिया मिशन,Ministry of Skill Development,Ministry of Skill Development and Entrepreneurship,education,Central,2015,Active,"Youth 15-35","Skill development and entrepreneurship training for youth",https://skillindia.nsdcindia.org
ncap,National Clean Air Programme,राष्ट्रीय स्वच्छ वायु कार्यक्रम,Ministry of Environment,Ministry of Environment Forest and Climate Change,climate_air,Central,2019,Active,"Urban population","20-30% reduction in PM2.5 and PM10 by 2024 against 2017 baseline in 131 cities",https://cpcb.nic.in
